Body ID,headProcessed,Stance
0,soldier shoot parliament lock down after erupt at war,unrelated
0,tourist dub spider man after spider burrow under skin for day,unrelated
0,luke in fail attempt in yemen,unrelated
0,break soldier shoot at war in ottawa,unrelated
0,giant catfish weigh stone catch in be think be the biggest ever reel in with rod line,unrelated
0,catfish catch with fish rod in after boat,unrelated
0,italian catch huge wel catfish be it record,unrelated
0,not come store near you the pumpkin spice condom,unrelated
0,one gunman kill in shoot on parliament hill in ottawa hunt on for other shooter,unrelated
0,soldier shoot at war in canada,unrelated
0,surreal photo fisherman s catch will like have peopl wonder if it s real,unrelated
0,fisherman land stone catfish which could be biggest in world be hook,unrelated
0,tom want brian william fire,unrelated
0,soldier ha be shoot at canada s war just step away from the nation s parliament,unrelated
0,pound catfish fisherman make huge catch in catfish could set record,unrelated
0,rumor debunk robot be not patrol microsoft,unrelated
0,catch catfish record in po kg meter,unrelated
0,monster catfish which look big enough swallow man whole catch in,unrelated
0,luke sister say he wa kill in fail yemen attempt,unrelated
0,appl watch be have app at launch report,unrelated
0,soldier shoot near canadian parliament build,unrelated
0,soldier shoot in ottawa at war,unrelated
0,soldier shoot at war shoot fire in parliament,unrelated
0,comcast is threaten cut off custom who use tor the web browser for,unrelated
0,small strike in capit citi,agree
0,break soldier shoot at nation war in ottawa,unrelated
0,buy big chunk shore icon redwood citi offic park,unrelated
0,canadian soldier shoot at ottawa war report,unrelated
0,iraqi rumor claim is leader slay,unrelated
0,there ha be shoot at the war on parliament hill report say soldier wa shoot,unrelated
0,the condom is just figment your own gross imagin,unrelated
0,ottawa shoot soldier shoot at canada nation war,unrelated
0,break new gunman dead after wind soldier near canada parliament,unrelated
0,fear isi use weapon in,unrelated
0,soldier gunman kill in shoot near canadian parliament,unrelated
0,italian fisherman catch catfish,unrelated
4,it begin spot at airport,discuss
5,comfort eat chin woman spend an week in kfc after be dump by boyfriend,unrelated
5,who report suspect ebola case in iraq,unrelated
5,report isi fighter have contract ebola be say iraqi health,unrelated
5,is ebola spread among isi report claim jihadist seek cure at,unrelated
5,isi fighter contract ebola world health organis investig report show up at iraqi with lethal diseas,unrelated
5,isi crack down on five confirm ebola case among fighter offici,unrelated
5,swirl detail in arrest isi leader,unrelated
5,ebola outbreak updat isi fighter may have contract,unrelated
5,isi in have contract ebola iraqi media claim,unrelated
5,isi contract ebola,unrelated
5,who say report suspect ebola case in iraq be,unrelated
5,open first physic store in manhattan dj,unrelated
5,alleg audio michael brown shoot ha,unrelated
5,weapon ebola isi say contract,unrelated
5,iraqi media say isi have contract ebola,unrelated
5,horror isi fighter have contract ebola,unrelated
5,matt on leav from first look media,unrelated
5,who say report suspect ebola case in iraq be,unrelated
5,be no limit their islam state fee mother her own son,unrelated
5,femal fighter say abduct by islam state read more femal fighter say abduct by islam state,unrelated
5,haram kidnap girl have be marri off truce never happen,unrelated
5,doe isi have ebola not media report it anyway,unrelated
5,isi have contract ebola iraqi kurdish media report,unrelated
5,on the horizon isi soldier may be infect with ebola,unrelated
5,ebola transfer,unrelated
5,isi trick mother into eat her kidnap son,unrelated
5,isi fighter have contract ebola,unrelated
5,no there aren t ani ebola case in iraq,unrelated
